Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Что такое commit?,Удаление кода,Сейв (версия) твоего кода,Новый файл,Перезагрузка,20,2
Что делает git push?,Запускает игру,Отправляет код в облако (GitHub),Удаляет проект,Меняет пароль,20,2
Что делает Vercel при git push?,Ничего,Сам пересобирает и обновляет сайт,Удаляет ветку,Шлёт письмо,20,2
Где должны жить секретные ключи?,Прямо в коде,В файле .env.local (не в git),В названии проекта,В чате с другом,20,2
Как создать таблицу в базе?,Вручную копировать SQL,Командой npm run db:push (миграция),Нарисовать,Никак,20,2
Что такое файл .env.local?,Игра,"Файл с ключами, который git игнорит",Картинка,Стиль кнопок,20,2
Что делает «Use this template» на GitHub?,Удаляет репозиторий,Создаёт твою личную копию проекта,Меняет язык,Ставит звезду,20,2
Что делает npm run dev?,Удаляет код,Запускает приложение локально,Покупает домен,Чистит кэш,20,2
Ошибка «relation entries does not exist» значит:,Нет интернета,Не применил миграцию (npm run db:push),Сломан ноут,Неверный пароль,20,2
Главный цикл разработчика:,Сразу публиковать,Промпт → проверка → push → авто-деплой,Только писать вручную,Ждать ментора,20,2
