Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Тест сильной идеи?,Она красивая,Кто-то заплатил бы за неё $1,Её легко сделать,Она про игры,20,2
Главный цикл с Codex?,Просто писать код,Промпт → проверка → push → авто-деплой,Ждать ментора,Копировать чужое,20,2
Сколько изменений за один промпт?,Десять сразу,Одно,Ноль,Чем больше тем лучше,20,2
Из чего состоит хороший промпт?,Имя и возраст,ЧТО · КАК выглядит · ЧТО делает,Только цвет,Старт и финиш,20,2
Что сделать перед git push?,Сразу пушить,"Проверить, что приложение работает",Удалить файлы,Сменить пароль,20,2
Какую игру реально сделать?,Тяжёлый 3D как на PS5,"Flappy, кликер или квиз",Онлайн на 1000 игроков,Никакую,20,2
Зачем давать Codex контекст в начале?,Для красоты,"Чтобы он знал стек и правила",Чтобы быстрее,Это не нужно,20,2
Codex сломал код. Что делать?,Закоммитить как есть,Не коммитить и попросить починить,Удалить проект,Перезагрузить ноут,20,2
Где готовые промпты по дням?,В Google,В файле CODEX_SETUP.md / AGENTS.md,В Paint,Нигде,20,2
Codex меняет что?,Только текст,Настоящие файлы кода,Картинки,Ничего,20,2
