Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Сколько секунд решают, останется ли пользователь?,30 секунд,5 минут,1 час,1 день,20,1
Что такое empty state?,Ошибка,Пустой экран с дружелюбной подсказкой,Чёрный экран,Главное меню,20,2
Welcome-экран — это?,Реклама,Одно предложение «что это»,Форма оплаты,Настройки,20,2
Как лучше собирать фидбэк?,Подсказывать на каждом шаге,Дать ссылку и смотреть молча,Не показывать никому,Только себе,20,2
Какой фидбэк полезный?,«норм, круто»,«я не понял куда нажать»,«ничего»,«потом скажу»,20,2
Где пользователь застрял — там…?,Успех,Баг,Реклама,Конец,20,2
Что сделать с пустым экраном?,Оставить пустым,Дать подсказку что делать,Показать ошибку,Спрятать,20,2
Зачем нужен онбординг?,Чтобы дольше грузилось,Чтобы понятно без инструкции,Для рекламы,Незачем,20,2
Чужой ввод от незнакомцев?,Полностью доверять,Не доверять: модерация и лимит длины,Игнорировать,Удалять всех,20,2
Что сделать после фидбэка?,Ничего,Починить и git push,Удалить проект,Сменить идею,20,2
