Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Что такое system prompt?,Пароль,Роль и характер AI,Кнопка,Цвет,20,2
ИИ — это умный…?,Робот-уборщик,"Стажёр, которому нужна чёткая роль",Калькулятор,Браузер,20,2
Где должен жить ключ AI-модели?,Прямо в коде на фронте,На сервере (Supabase Edge Function),В названии файла,В чате,20,2
Что такое jailbreak?,Побег из тюрьмы,Попытка увести AI из его роли,Ошибка сети,Тип кнопки,20,2
Что такое guardrails?,"Правила: отвечай только по теме, не выходи из роли",Игра,Дизайн,Язык,20,1
ИИ может…?,Всегда говорить правду,Уверенно ошибаться (врать),Чинить ноут,Рисовать сам,20,2
Где делается вызов AI в продукте?,В Paint,В Supabase Edge Function,В Excel,В браузере,20,2
Что добавить под ответ AI?,Рекламу,«ИИ может ошибаться»,Пароль,Ничего,20,2
Какой system prompt плохой?,Просто «работай»,С ролью и запретами,С тоном,С форматом,20,1
Зачем тест «сломай мой AI»?,Для смеха,Найти дыры в защите (guardrails),Удалить проект,Ускорить,20,2
