Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Что такое vibe coding?,Писать код вручную строчка за строчкой,"Описывать словами, а код пишет ИИ",Копировать код с интернета,Рисовать приложение в Paint,20,2
Что делает git?,Рисует дизайн,"Сохраняет версии кода, как сейвы в игре",Ускоряет интернет,Удаляет файлы,20,2
Что такое GitHub?,Игра,Облако для твоего кода,Редактор фото,Антивирус,20,2
Зачем нужен Supabase?,Чтобы рисовать,База данных и вход в аккаунт без своего сервера,Чтобы монтировать видео,Чтобы играть,20,2
Что делает Vercel?,Пишет код за тебя,Выкладывает твой сайт в интернет,Создаёт музыку,Чистит ноутбук,20,2
Кто такой Codex?,Антивирус,ИИ-программист: меняет настоящий код,Игра-головоломка,Браузер,20,2
Где ты пишешь и видишь код?,В Paint,В VSCode (редактор кода),В калькуляторе,В Telegram,20,2
Что делает команда npm install?,Удаляет проект,Ставит детали (зависимости) проекта,Запускает игру,Отправляет код в облако,20,2
Что такое терминал?,Аэропорт,"Окно, куда пишешь команды компьютеру",Папка с фото,Кнопка выключения,20,2
Что сделать перед сохранением кода?,Сразу запушить,"Проверить, что приложение работает",Перезагрузить ноут,Поменять пароль,20,2
