Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
База данных — это?,Папка с фото,"Таблицы, как в Excel",Сайт,Игра,20,2
Строка в таблице — это?,Один столбец,Одна запись,Кнопка,Вся база,20,2
Зачем нужен вход (auth)?,Для красоты,У каждого свой профиль и свои данные,Чтобы тормозило,Не нужен,20,2
Что такое RLS?,Тип кнопки,Каждый видит только свои строки,Язык,Цвет,20,2
Как создать таблицу?,Вручную в редакторе,Миграция + npm run db:push,Нарисовать,Никак,20,2
Ошибка relation does not exist значит:,Нет интернета,Не сделал npm run db:push,Сломан ноут,Нет логина,20,2
Лучший тест памяти?,Перезагрузить ноут,"Выйти и зайти — данные на месте",Очистить кэш,Сменить тему,20,2
Где хранятся данные пользователя?,На рабочем столе,В Supabase,В Paint,В чате,20,2
Кто пишет миграцию и кто применяет?,Я пишу и применяю,"Codex пишет, ты применяешь db:push",Ментор,Никто,20,2
Зачем нужен RLS?,Для скорости,Чтобы чужие данные не утекли,Для дизайна,Незачем,20,2
