Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
Какой дизайн выглядит дороже?,Неон и 5 цветов,"Спокойный: один акцент, много воздуха",Всё мигает,Радуга,20,2
Сколько акцентных цветов в дорогом дизайне?,Пять,Один,Десять,Ноль,20,2
Что такое «воздух» в дизайне?,Анимация облаков,Пустое пространство между элементами,Звук,Фон,20,2
Сколько шрифтов лучше использовать?,Разные на каждом экране,Один на всё приложение,Три,Чем больше тем веселее,20,2
Что такое streak?,Ошибка,Серия дней подряд,Цвет,Кнопка,20,2
Зачем нужны крючки удержания?,Для красоты,Чтобы пользователи возвращались,Чтобы тормозило,Незачем,20,2
Главный вопрос продукта?,Какой шрифт,Почему откроют завтра,Сколько цветов,Где кнопка,20,2
Где сохранять прогресс и streak?,На бумаге,В Supabase,В Paint,Нигде,20,2
Меняешь дизайн в игре — что не трогать?,Меню,Игровой процесс (canvas),Кнопки,Фон,20,2
Дорогой дизайн НЕ…?,молчит,кричит (меньше = дороже),работает,грузится,20,2
